Season,Lg,Tm,,,,,
2015-16,NBA,1st,DeAndre Jordan C,LeBron James F,Kawhi Leonard F,Stephen Curry G,Russell Westbrook G
2015-16,NBA,2nd,DeMarcus Cousins C,Draymond Green F,Kevin Durant F,Chris Paul G,Damian Lillard G
2015-16,NBA,3rd,Andre Drummond C,LaMarcus Aldridge F,Paul George F,Kyle Lowry G,Klay Thompson G
2014-15,NBA,1st,Marc Gasol C,LeBron James F,Anthony Davis F,James Harden G,Stephen Curry G
2014-15,NBA,2nd,Pau Gasol C,DeMarcus Cousins C,LaMarcus Aldridge F,Chris Paul G,Russell Westbrook G
2014-15,NBA,3rd,DeAndre Jordan C,Tim Duncan F,Blake Griffin F,Klay Thompson G,Kyrie Irving G
2013-14,NBA,1st,Joakim Noah C,LeBron James F,Kevin Durant F,James Harden G,Chris Paul G
2013-14,NBA,2nd,Dwight Howard C,Blake Griffin F,Kevin Love F,Stephen Curry G,Tony Parker G
2013-14,NBA,3rd,Al Jefferson C,LaMarcus Aldridge F,Paul George F,Damian Lillard G,Goran Dragic G
2012-13,NBA,1st,Tim Duncan C,LeBron James F,Kevin Durant F,Chris Paul G,Kobe Bryant G
2012-13,NBA,2nd,Marc Gasol C,Carmelo Anthony F,Blake Griffin F,Tony Parker G,Russell Westbrook G
2012-13,NBA,3rd,Dwight Howard C,David Lee F,Paul George F,James Harden G,Dwyane Wade G
2011-12,NBA,1st,Dwight Howard C,LeBron James F,Kevin Durant F,Kobe Bryant G,Chris Paul G
2011-12,NBA,2nd,Andrew Bynum C,Kevin Love F,Blake Griffin F,Tony Parker G,Russell Westbrook G
2011-12,NBA,3rd,Tyson Chandler C,Carmelo Anthony F,Dirk Nowitzki F,Rajon Rondo G,Dwyane Wade G
2010-11,NBA,1st,Dwight Howard C,LeBron James F,Kevin Durant F,Derrick Rose G,Kobe Bryant G
2010-11,NBA,2nd,Amar'e Stoudemire C,Pau Gasol F,Dirk Nowitzki F,Russell Westbrook G,Dwyane Wade G
2010-11,NBA,3rd,Al Horford C,Zach Randolph F,LaMarcus Aldridge F,Manu Ginobili G,Chris Paul G
2009-10,NBA,1st,Dwight Howard C,Kevin Durant F,LeBron James F,Kobe Bryant G,Dwyane Wade G
2009-10,NBA,2nd,Amar'e Stoudemire C,Carmelo Anthony F,Dirk Nowitzki F,Deron Williams G,Steve Nash G
2009-10,NBA,3rd,Andrew Bogut C,Tim Duncan F,Pau Gasol F,Joe Johnson G,Brandon Roy G
2008-09,NBA,1st,Dwight Howard C,LeBron James F,Dirk Nowitzki F,Dwyane Wade G,Kobe Bryant G
2008-09,NBA,2nd,Yao Ming C,Tim Duncan F,Paul Pierce F,Chris Paul G,Brandon Roy G
2008-09,NBA,3rd,Shaquille O'Neal C,Pau Gasol F,Carmelo Anthony F,Tony Parker G,Chauncey Billups G
2007-08,NBA,1st,Dwight Howard C,LeBron James F,Kevin Garnett F,Chris Paul G,Kobe Bryant G
2007-08,NBA,2nd,Amar'e Stoudemire C,Dirk Nowitzki F,Tim Duncan F,Steve Nash G,Deron Williams G
2007-08,NBA,3rd,Yao Ming C,Carlos Boozer F,Paul Pierce F,Tracy McGrady G,Manu Ginobili G
2006-07,NBA,1st,Amar'e Stoudemire C,Dirk Nowitzki F,Tim Duncan F,Kobe Bryant G,Steve Nash G
2006-07,NBA,2nd,Yao Ming C,LeBron James F,Chris Bosh F,Gilbert Arenas G,Tracy McGrady G
2006-07,NBA,3rd,Dwight Howard C,Carmelo Anthony F,Kevin Garnett F,Dwyane Wade G,Chauncey Billups G
2005-06,NBA,1st,Shaquille O'Neal C,LeBron James F,Dirk Nowitzki F,Kobe Bryant G,Steve Nash G
2005-06,NBA,2nd,Ben Wallace C,Tim Duncan F,Elton Brand F,Dwyane Wade G,Chauncey Billups G
2005-06,NBA,3rd,Yao Ming C,Carmelo Anthony F,Shawn Marion F,Allen Iverson G,Gilbert Arenas G
2004-05,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Dirk Nowitzki F,Allen Iverson G,Steve Nash G
2004-05,NBA,2nd,Amar'e Stoudemire C,LeBron James F,Kevin Garnett F,Ray Allen G,Dwyane Wade G
2004-05,NBA,3rd,Ben Wallace C,Shawn Marion F,Tracy McGrady F,Kobe Bryant G,Gilbert Arenas G
2003-04,NBA,1st,Shaquille O'Neal C,Kevin Garnett F,Tim Duncan F,Kobe Bryant G,Jason Kidd G
2003-04,NBA,2nd,Ben Wallace C,Peja Stojakovic F,Jermaine O'Neal F,Sam Cassell G,Tracy McGrady G
2003-04,NBA,3rd,Yao Ming C,Dirk Nowitzki F,Metta World Peace F,Michael Redd G,Baron Davis G
2002-03,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Kevin Garnett F,Kobe Bryant G,Tracy McGrady G
2002-03,NBA,2nd,Ben Wallace C,Dirk Nowitzki F,Chris Webber F,Jason Kidd G,Allen Iverson G
2002-03,NBA,3rd,Jermaine O'Neal C,Paul Pierce F,Jamal Mashburn F,Steve Nash G,Stephon Marbury G
2001-02,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Tracy McGrady F,Jason Kidd G,Kobe Bryant G
2001-02,NBA,2nd,Dirk Nowitzki C,Chris Webber F,Kevin Garnett F,Gary Payton G,Allen Iverson G
2001-02,NBA,3rd,Dikembe Mutombo C,Ben Wallace F,Jermaine O'Neal F,Paul Pierce G,Steve Nash G
2000-01,NBA,1st,Shaquille O'Neal C,Chris Webber F,Tim Duncan F,Jason Kidd G,Allen Iverson G
2000-01,NBA,2nd,Dikembe Mutombo C,Kevin Garnett F,Vince Carter F,Kobe Bryant G,Tracy McGrady G
2000-01,NBA,3rd,David Robinson C,Karl Malone F,Dirk Nowitzki F,Gary Payton G,Ray Allen G
1999-00,NBA,1st,Shaquille O'Neal C,Kevin Garnett F,Tim Duncan F,Gary Payton G,Jason Kidd G
1999-00,NBA,2nd,Alonzo Mourning C,Karl Malone F,Grant Hill F,Allen Iverson G,Kobe Bryant G
1999-00,NBA,3rd,David Robinson C,Vince Carter F,Chris Webber F,Stephon Marbury G,Eddie Jones G
1998-99,NBA,1st,Alonzo Mourning C,Karl Malone F,Tim Duncan F,Jason Kidd G,Allen Iverson G
1998-99,NBA,2nd,Shaquille O'Neal C,Grant Hill F,Chris Webber F,Gary Payton G,Tim Hardaway G
1998-99,NBA,3rd,Hakeem Olajuwon C,Kevin Garnett F,Antonio McDyess F,Kobe Bryant G,John Stockton G
1997-98,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Karl Malone F,Michael Jordan G,Gary Payton G
1997-98,NBA,2nd,David Robinson C,Vin Baker F,Grant Hill F,Rod Strickland G,Tim Hardaway G
1997-98,NBA,3rd,Dikembe Mutombo C,Scottie Pippen F,Glen Rice F,Mitch Richmond G,Reggie Miller G
1996-97,NBA,1st,Hakeem Olajuwon C,Grant Hill F,Karl Malone F,Tim Hardaway G,Michael Jordan G
1996-97,NBA,2nd,Patrick Ewing C,Glen Rice F,Scottie Pippen F,Mitch Richmond G,Gary Payton G
1996-97,NBA,3rd,Shaquille O'Neal C,Vin Baker F,Anthony Mason F,Anfernee Hardaway G,John Stockton G
1995-96,NBA,1st,David Robinson C,Scottie Pippen F,Karl Malone F,Michael Jordan G,Anfernee Hardaway G
1995-96,NBA,2nd,Hakeem Olajuwon C,Grant Hill F,Shawn Kemp F,John Stockton G,Gary Payton G
1995-96,NBA,3rd,Shaquille O'Neal C,Juwan Howard F,Charles Barkley F,Mitch Richmond G,Reggie Miller G
1994-95,NBA,1st,David Robinson C,Scottie Pippen F,Karl Malone F,Anfernee Hardaway G,John Stockton G
1994-95,NBA,2nd,Shaquille O'Neal C,Charles Barkley F,Shawn Kemp F,Mitch Richmond G,Gary Payton G
1994-95,NBA,3rd,Hakeem Olajuwon C,Detlef Schrempf F,Dennis Rodman F,Clyde Drexler G,Reggie Miller G
1993-94,NBA,1st,Hakeem Olajuwon C,Scottie Pippen F,Karl Malone F,John Stockton G,Latrell Sprewell G
1993-94,NBA,2nd,David Robinson C,Shawn Kemp F,Charles Barkley F,Mitch Richmond G,Kevin Johnson G
1993-94,NBA,3rd,Shaquille O'Neal C,Derrick Coleman F,Dominique Wilkins F,Mark Price G,Gary Payton G
1992-93,NBA,1st,Hakeem Olajuwon C,Charles Barkley F,Karl Malone F,Michael Jordan G,Mark Price G
1992-93,NBA,2nd,Patrick Ewing C,Larry Johnson F,Dominique Wilkins F,Joe Dumars G,John Stockton G
1992-93,NBA,3rd,David Robinson C,Derrick Coleman F,Scottie Pippen F,Drazen Petrovic G,Tim Hardaway G
1991-92,NBA,1st,David Robinson C,Chris Mullin F,Karl Malone F,Michael Jordan G,Clyde Drexler G
1991-92,NBA,2nd,Patrick Ewing C,Charles Barkley F,Scottie Pippen F,John Stockton G,Tim Hardaway G
1991-92,NBA,3rd,Brad Daugherty C,Dennis Rodman F,Kevin Willis F,Mark Price G,Kevin Johnson G
1990-91,NBA,1st,David Robinson C,Charles Barkley F,Karl Malone F,Magic Johnson G,Michael Jordan G
1990-91,NBA,2nd,Patrick Ewing C,Chris Mullin F,Dominique Wilkins F,Clyde Drexler G,Kevin Johnson G
1990-91,NBA,3rd,Hakeem Olajuwon C,James Worthy F,Bernard King F,Joe Dumars G,John Stockton G
1989-90,NBA,1st,Patrick Ewing C,Karl Malone F,Charles Barkley F,Magic Johnson G,Michael Jordan G
1989-90,NBA,2nd,Hakeem Olajuwon C,Tom Chambers F,Larry Bird F,John Stockton G,Kevin Johnson G
1989-90,NBA,3rd,David Robinson C,James Worthy F,Chris Mullin F,Joe Dumars G,Clyde Drexler G
